Nacimientos
,Año de registro : 2016
,

Consulta de: Nacimientos registrados   Por: Ent y mun reside madre   Según: Año de ocurrencia
 , , Total, 1902, 1903, 1904, 1905, 1906, 1907, 1908, 1909, 1910, 1911, 1912, 1913, 1914, 1915, 1916, 1917, 1918, 1919, 1920, 1921, 1922, 1923, 1924, 1925, 1926, 1927, 1928, 1929, 1930, 1931, 1932, 1933, 1934, 1935, 1936, 1937, 1938, 1939, 1940, 1941, 1942, 1943, 1944, 1945, 1946, 1947, 1948, 1949, 1950, 1951, 1952, 1953, 1954, 1955, 1956, 1957, 1958, 1959, 1960, 1961, 1962, 1963, 1964, 1965, 1966, 1967, 1968, 1969, 1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, No especificado
 10, Durango,"37,801", , , , , , , , , , , , , 1, , , 1, 2, 1, 4, 1, 2, 4, 4, 3, 5, 5, 8, 8, 13, 5, 6, 9, 7, 10, 4, 15, 8, 5, 14, 9, 8, 10, 10, 15, 14, 7, 11, 17, 19, 8, 16, 16, 23, 24, 22, 29, 17, 22, 15, 18, 14, 19, 19, 10, 13, 11, 17, 12, 18, 15, 11, 18, 13, 13, 13, 19, 13, 14, 18, 17, 19, 10, 14, 22, 16, 13, 17, 21, 12, 23, 24, 16, 35, 26, 34, 50, 44, 41, 85, 80, 42, 60, 60, 69, 64, 69, 77, 99, 148, 260, 485, 494, 890,"6,396","27,209", 5
 11, Guanajuato,"117,281", , , , , , , , , , 1, , , , 1, 2, 2, 3, 4, 2, 2, 2, 9, 8, 4, 6, 10, 7, 9, 8, 4, 10, 1, 5, 4, 5, 2, 6, 3, 4, 6, 1, 6, 5, 2, 5, 6, 7, 7, 11, 11, 11, 14, 8, 8, 4, 9, 11, 11, 10, 5, 3, 4, 9, 6, 6, 10, 10, 6, 8, 8, 3, 7, 4, 7, 9, 8, 6, 8, 12, 7, 10, 11, 8, 6, 9, 8, 4, 9, 21, 18, 23, 32, 35, 38, 50, 59, 57, 55, 66, 122, 73, 89, 118, 117, 119, 117, 132, 160, 223, 331, 640,"1,018","1,885","21,906","89,262", 27
 12, Guerrero,"87,127", , , , 1, , , , , 2, 1, 1, , 2, 5, 2, 6, 6, 6, 12, 11, 12, 19, 15, 34, 21, 34, 38, 37, 72, 49, 54, 50, 63, 91, 86, 73, 98, 69, 102, 68, 69, 77, 82, 98, 104, 76, 87, 107, 134, 103, 121, 117, 110, 134, 129, 122, 112, 111, 129, 111, 127, 141, 129, 117, 106, 105, 119, 98, 76, 72, 79, 86, 72, 71, 56, 43, 49, 49, 49, 33, 54, 43, 36, 29, 38, 35, 31, 27, 33, 40, 40, 42, 42, 40, 46, 42, 66, 43, 55, 72, 66, 61, 105, 122, 108, 122, 208, 327, 531, 952,"1,809","3,176","5,352","24,953","43,409", 22
 13, Hidalgo,"52,629", , , , , , , , 1, , , , , , , 2, 1, 2, , 3, 2, 1, 6, 3, 2, 9, 5, 9, 6, 19, 15, 10, 5, 15, 16, 13, 11, 16, 10, 16, 13, 21, 15, 18, 12, 20, 24, 27, 22, 41, 34, 34, 25, 27, 44, 31, 23, 17, 28, 19, 19, 17, 32, 37, 22, 28, 12, 15, 19, 27, 15, 12, 23, 16, 16, 7, 19, 10, 8, 13, 8, 6, 5, 4, 6, 8, 8, 8, 8, 7, 8, 13, 14, 11, 5, 16, 30, 27, 25, 43, 44, 34, 52, 56, 60, 69, 69, 60, 71, 150, 238, 404, 501, 896,"10,832","37,761", 12
 14, Jalisco,"148,377", , , , , , , , , 3, 1, 1, 2, 2, 8, 7, 3, 1, 6, 11, 9, 11, 11, 24, 25, 33, 37, 37, 26, 21, 13, 21, 23, 23, 23, 27, 20, 19, 13, 14, 9, 16, 14, 19, 18, 13, 25, 20, 19, 38, 28, 20, 26, 23, 27, 20, 16, 21, 20, 18, 16, 19, 21, 16, 18, 15, 15, 7, 11, 15, 10, 11, 12, 9, 8, 9, 12, 4, 6, 12, 6, 8, 4, 7, 12, 13, 8, 8, 10, 17, 17, 22, 14, 28, 26, 26, 48, 56, 49, 55, 44, 49, 62, 58, 81, 77, 107, 154, 192, 349, 620, 963,"1,013","1,993","23,419","117,630", 1
 15, México,"295,635", , , 1, , , , , , , , , , , , , 6, 2, 5, 11, 16, 17, 32, 27, 31, 42, 46, 49, 53, 117, 68, 84, 123, 113, 126, 144, 99, 128, 114, 145, 125, 136, 131, 131, 145, 118, 137, 132, 147, 174, 156, 159, 149, 185, 263, 229, 100, 86, 104, 111, 86, 81, 93, 85, 81, 71, 85, 67, 56, 62, 64, 54, 46, 45, 50, 52, 52, 44, 25, 30, 35, 31, 27, 30, 24, 28, 29, 29, 26, 43, 48, 46, 61, 59, 66, 78, 106, 126, 85, 144, 172, 172, 181, 262, 261, 330, 300, 358, 458, 863,"1,460","2,139","2,715","5,222","61,348","212,443", 84
 16, Michoacán de Ocampo,"96,217", , , , , , , , 1, 1, 1, 1, 1, 2, , 1, 2, 2, 3, 9, 5, 5, 15, 11, 12, 14, 9, 15, 17, 20, 14, 15, 14, 14, 30, 28, 17, 24, 20, 32, 20, 25, 33, 21, 36, 28, 38, 39, 39, 51, 32, 31, 37, 49, 38, 28, 36, 27, 37, 35, 33, 26, 35, 23, 28, 24, 21, 25, 19, 28, 22, 20, 15, 16, 21, 20, 19, 29, 30, 30, 37, 25, 15, 23, 14, 29, 11, 25, 27, 28, 41, 29, 35, 42, 58, 65, 69, 116, 88, 179, 234, 119, 161, 165, 134, 145, 183, 209, 223, 407, 660,"1,155","1,671","2,721","21,537","64,017", 1
 17, Morelos,"35,632", , , , , , , , , , , 1, 1, 1, , 1, 1, 1, 3, 2, 2, 4, 10, 5, 14, 8, 11, 16, 10, 24, 11, 14, 19, 15, 19, 24, 21, 17, 21, 28, 17, 34, 26, 36, 30, 24, 35, 33, 41, 53, 41, 34, 32, 32, 45, 37, 36, 32, 30, 21, 23, 33, 37, 36, 28, 29, 14, 17, 14, 15, 15, 22, 16, 13, 8, 14, 5, 8, 3, 9, 1, 5, 4, 2, 4, 2, 2, 6, 7, 22, 12, 20, 16, 13, 21, 27, 39, 42, 38, 58, 76, 59, 47, 73, 61, 61, 61, 73, 100, 201, 421, 726, 804,"1,352","8,243","21,601", 
 18, Nayarit,"21,714", , , , , , , , , , , , , , , , , 1, , , 4, 2, 1, , 2, 5, 4, 3, , 5, 1, 1, 3, 4, 6, 5, 1, 3, 4, 4, 4, 6, 6, 3, 9, 8, 6, 4, 7, 10, 8, 10, 4, 7, 10, 9, 7, 4, 11, 12, 8, 9, 4, 5, 12, 5, 5, 7, 5, 8, 6, 4, 10, 6, 9, 8, 7, 7, 9, 7, 11, 8, 7, 9, 5, 9, 6, 10, 10, 17, 10, 12, 11, 12, 12, 25, 17, 18, 18, 45, 62, 30, 34, 44, 40, 47, 50, 63, 62, 88, 166, 244, 382, 542,"3,601","15,642", 
 19, Nuevo León,"92,978", , , 1, , , , , 1, 3, , , , , 1, 3, 1, 3, 1, 5, 3, 1, 6, 8, 12, 9, 14, 11, 8, 8, 10, 11, 9, 11, 18, 9, 11, 14, 9, 13, 12, 16, 11, 8, 20, 10, 14, 26, 20, 22, 16, 11, 11, 20, 20, 27, 15, 16, 13, 19, 13, 9, 8, 2, 11, 9, 6, 3, 5, 3, 3, 7, 2, 4, 3, 4, 5, 2, 6, 1, 3, 1, 1, 2, 3, 2, 3, 4, 5, 1, 6, 7, 9, 10, 9, 13, 20, 12, 17, 7, 16, 12, 29, 22, 30, 34, 29, 56, 99, 209, 468, 732, 703,"1,108","14,863","73,782", 4
