Nacimientos
,Año de registro : 2020
,

Consulta de: Nacimientos registrados   Por: Ent y mun reside madre   Según: Año de ocurrencia
 , , Total, 1923, 1924, 1925, 1926, 1927, 1928, 1929, 1930, 1931, 1932, 1933, 1934, 1935, 1936, 1937, 1938, 1939, 1940, 1941, 1942, 1943, 1944, 1945, 1946, 1947, 1948, 1949, 1950, 1951, 1952, 1953, 1954, 1955, 1956, 1957, 1958, 1959, 1960, 1961, 1962, 1963, 1964, 1965, 1966, 1967, 1968, 1969, 1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, No especificado
 10, Durango,"27,988", 2, 1, , , , , 1, , , , 2, 1, 5, 2, , 3, 3, 2, 2, 3, 2, 6, 3, 6, 6, 5, 4, 5, 1, 13, 6, 5, 5, 8, 6, 8, 6, 14, 4, 7, 7, 7, 6, 6, 7, 4, 9, 8, 9, 5, 12, 9, 11, 12, 9, 11, 12, 9, 14, 12, 7, 9, 8, 6, 8, 16, 12, 14, 13, 17, 15, 13, 16, 13, 14, 21, 19, 19, 27, 47, 37, 38, 63, 24, 24, 26, 19, 27, 19, 26, 47, 94, 140, 268, 391, 678,"5,451","19,976", 
 11, Guanajuato,"85,259", 5, , 1, 4, 1, 2, , 1, 1, 2, 2, 1, , 2, , , 3, , 1, 2, , 2, , 3, 4, 3, 3, 4, 3, 3, 1, 5, 5, 3, 5, 6, 5, 1, 1, 1, 3, 4, 4, , 2, 2, 4, 2, 1, 4, 1, 4, 5, 1, 5, 9, , 1, 1, 9, 7, 4, 3, 3, 3, 5, 9, 8, 8, 13, 12, 14, 15, 16, 11, 17, 18, 24, 20, 38, 47, 55, 84, 26, 40, 35, 46, 26, 29, 30, 43, 88, 144, 304, 569,"1,097","15,807","66,393", 
 12, Guerrero,"59,150", 14, 5, 8, 10, 5, 13, 2, 21, 22, 29, 21, 28, 44, 36, 49, 53, 32, 52, 27, 36, 39, 30, 42, 28, 35, 31, 36, 47, 44, 67, 35, 54, 65, 47, 43, 57, 53, 62, 48, 45, 35, 60, 50, 46, 41, 42, 47, 42, 35, 31, 53, 28, 35, 23, 34, 30, 28, 26, 16, 16, 26, 11, 19, 20, 16, 18, 11, 14, 14, 11, 27, 14, 16, 15, 17, 25, 38, 40, 45, 54, 31, 32, 53, 27, 48, 55, 32, 28, 28, 38, 85, 194, 277, 635,"1,659","2,727","15,489","35,128", 
 13, Hidalgo,"37,498", 2, , 3, 3, , 1, 1, 4, , 3, 1, 3, 4, 5, 6, 1, 2, 10, 1, 5, 6, 6, 7, 10, 6, 13, 10, 18, 12, 5, 9, 18, 17, 7, 14, 6, 10, 7, 7, 13, 12, 12, 9, 7, 11, 7, 7, 7, 4, 10, 5, 6, 6, 3, 7, 2, 8, 4, 3, 1, 5, 2, 4, 2, 3, 2, 3, 4, 6, 5, 10, 1, 5, 9, 15, 10, 10, 14, 18, 14, 19, 28, 43, 16, 28, 32, 17, 23, 16, 22, 28, 62, 111, 197, 263, 509,"7,926","27,629", 
 14, Jalisco,"119,604", 6, 4, 7, 5, 4, 7, 2, 4, 3, 6, 4, 4, 4, 3, 4, 1, 6, 7, 5, 7, 8, 1, 7, 7, 10, 7, 9, 10, 16, 12, 8, 8, 8, 13, 8, 13, 16, 10, 11, 20, 18, 13, 13, 17, 12, 9, 19, 15, 9, 19, 31, 44, 40, 31, 38, 46, 37, 57, 59, 40, 41, 59, 51, 42, 48, 52, 60, 68, 70, 75, 66, 74, 80, 80, 79, 78, 83, 118, 124, 127, 139, 180, 245, 154, 151, 150, 108, 115, 118, 111, 161, 225, 398, 585, 639,"1,230","18,520","94,037", 1
 15, México,"184,447", 15, 8, 6, 6, 4, 7, 7, 16, 9, 15, 15, 16, 19, 18, 21, 19, 27, 31, 26, 31, 30, 32, 45, 21, 41, 33, 38, 51, 36, 52, 38, 43, 50, 39, 67, 71, 78, 77, 31, 25, 27, 18, 31, 22, 20, 17, 22, 16, 13, 9, 10, 12, 11, 9, 10, 9, 10, 12, 13, 11, 12, 7, 11, 10, 12, 6, 5, 11, 13, 18, 17, 12, 15, 10, 13, 20, 20, 25, 36, 45, 32, 36, 45, 33, 51, 62, 37, 46, 42, 69, 101, 213, 454, 819,"1,295","2,676","39,324","137,278", 
 16, Michoacán de Ocampo,"73,115", 7, 1, 3, 1, 2, 3, 5, , 2, 3, 1, 2, 4, 3, 2, 1, 3, 3, 2, 4, 5, 3, 6, 9, 9, 7, 7, 10, 9, 16, 13, 16, 9, 8, 13, 13, 13, 6, 6, 7, 8, 9, 11, 8, 6, 17, 12, 12, 10, 14, 9, 6, 6, 10, 8, 12, 8, 12, 12, 14, 9, 5, 13, 9, 16, 11, 17, 13, 14, 16, 17, 20, 15, 23, 22, 20, 40, 34, 40, 51, 42, 79, 112, 59, 56, 69, 53, 41, 37, 45, 71, 128, 256, 511, 762,"1,666","17,762","50,520", 
 17, Morelos,"24,662", 4, , 5, 1, 4, 3, 3, 3, 1, 3, 4, 3, 3, 2, 2, 4, 3, 8, 5, 10, 5, 2, 3, 5, 6, 2, 6, 8, 4, 19, 10, 7, 5, 10, 7, 7, 11, 11, 3, 11, 6, 9, 7, 3, 6, 7, 5, 9, 2, 3, 5, 7, 6, 2, 5, 1, 2, 3, 3, 2, , 1, 2, 3, 1, 3, 4, 4, 7, 6, 7, 5, 7, 12, 6, 15, 12, 14, 24, 20, 18, 17, 30, 11, 16, 28, 20, 18, 10, 8, 19, 64, 126, 203, 288, 527,"3,956","18,844", 
 18, Nayarit,"16,524", 1, , , 1, , , , , 1, , , , 2, 1, 1, , , 1, 1, 1, 1, , , 1, , , 1, 1, 1, 1, , 2, 3, 1, , 1, 2, 5, 1, 5, 2, 5, 1, 1, 1, 1, 3, 4, 1, 1, 4, , 5, 2, 4, 1, 4, 4, , 1, 2, 4, , 1, 2, 5, 4, 5, 4, 3, 5, 5, 2, 3, 6, 2, 3, 3, 8, 4, 3, 8, 5, 7, 9, 6, 13, 14, 14, 12, 32, 54, 70, 116, 263, 372,"2,803","12,571", 
 19, Nuevo León,"74,471", 5, 1, , , 4, 3, 1, 1, , 3, 2, 1, 2, 1, 2, 1, 1, 4, 2, 1, 2, 1, 3, 1, 3, 4, 3, 5, 6, 5, 4, 3, 6, 2, 6, 4, 12, 7, 7, 6, 6, 3, 5, 7, 7, 3, 3, 7, , 8, 6, 8, 4, 2, 6, 6, 5, 2, 7, 4, 4, 6, 4, 7, 8, 3, 9, 6, 10, 7, 8, 8, 11, 12, 19, 14, 16, 24, 27, 30, 34, 54, 77, 32, 29, 28, 18, 19, 21, 16, 37, 60, 170, 320, 531, 726,"10,341","61,501", 
 20, Oaxaca,"52,031", 5, 1, 3, 3, 2, 5, 5, 10, 2, 8, 4, 3, 10, 13, 4, 8, 9, 15, 10, 18, 12, 19, 11, 13, 16, 20, 14, 30, 25, 37, 26, 36, 34, 27, 19, 20, 32, 29, 22, 41, 27, 14, 21, 31, 34, 28, 16, 17, 13, 16, 13, 16, 13, 15, 11, 9, 9, 11, 10, 9, 4, 4, 5, 4, 7, 1, 9, 8, 4, 10, 7, 13, 6, 3, 14, 7, 12, 13, 8, 17, 13, 11, 12, 10, 7, 15, 10, 17, 26, 36, 45, 164, 354, 668,"1,397","2,534","17,117","28,485", 
 21, Puebla,"104,228", 7, 3, 4, 2, 1, 8, 3, 10, 4, 6, 11, 17, 12, 9, 11, 12, 11, 19, 9, 17, 21, 18, 16, 19, 14, 19, 14, 26, 24, 20, 23, 32, 28, 24, 39, 29, 40, 40, 30, 34, 23, 23, 23, 27, 22, 31, 25, 21, 27, 34, 25, 29, 22, 27, 22, 22, 15, 18, 17, 6, 2, 5, 6, 4, 2, 3, 6, 12, 10, 14, 8, 7, 11, 2, 5, 8, 7, 8, 12, 17, 13, 20, 18, 12, 24, 25, 26, 29, 24, 44, 62, 146, 341, 707,"1,323","2,534","27,560","70,026", 
 22, Querétaro,"33,211", , , 1, , , 1, , 1, , 1, 1, 1, 2, , 2, 1, , 2, , 1, , 1, , , 1, , , 2, 1, 1, 1, , 1, 1, 2, 1, 3, , 2, 2, 1, 3, , , 1, , , 2, 1, 1, , 1, , 1, , , , 1, , , 1, , 2, , , 2, , 2, 1, , 1, 1, , 1, 3, 2, 2, 3, 4, 4, 3, 2, 3, 2, 5, 4, 4, 8, 7, 11, 12, 17, 17, 75, 104, 224,"3,225","29,414", 
 23, Quintana Roo,"24,063", , , , , , 1, , 1, , , , , , , , , , , 1, , , 1, , , , , 1, 1, , , , 2, , , 1, , 1, 2, , , 1, 1, 1, , 1, 1, , 3, , 1, 1, 4, , , 1, 2, 1, 3, , 1, 6, 3, 1, , , , , 1, 1, , 3, 1, 2, , 3, 7, 2, 3, 3, 10, 9, 10, 9, 9, 5, 10, 6, 7, 12, 16, 21, 63, 163, 177, 313, 527,"5,674","16,946", 6
 24, San Luis Potosí,"41,812", 1, , 2, 2, 3, , 1, 1, 1, 2, 2, , 2, , 2, 4, 4, 1, 5, 4, 2, 2, 3, 3, 6, 4, 6, 5, 3, 3, 2, 6, 6, 1, 2, 1, 3, 4, 4, 1, , 5, 5, 1, 1, 4, 1, 3, 1, , 2, , , 5, 4, 3, 1, 2, 2, , 1, 1, 2, 1, 4, , 3, 3, 4, 7, 4, 7, 1, 3, 3, 6, 6, 12, 7, 12, 6, 10, 12, 11, 16, 18, 10, 8, 10, 12, 18, 19, 48, 86, 150, 387,"6,888","33,871", 1
 25, Sinaloa,"38,971", , 2, 1, 1, 4, , 2, 3, 2, 1, 2, 3, , 2, 2, 2, 2, 8, 2, 2, 4, 2, 6, 2, 6, 2, 3, 6, 5, 8, 5, 5, 3, 1, 6, 2, 5, 9, 5, 6, 13, 4, 7, 4, 6, 4, 4, 9, 8, 8, 4, 5, 9, 6, 6, 9, 4, 12, 5, 17, 10, 4, 10, 13, 12, 8, 8, 12, 13, 17, 19, 18, 16, 17, 18, 18, 15, 26, 37, 45, 48, 62, 124, 43, 37, 45, 35, 30, 18, 21, 37, 57, 74, 283, 310, 584,"6,102","30,449", 
 26, Sonora,"30,904", 4, 1, 2, 2, 2, 2, 5, 2, 4, 7, 3, 2, 7, 7, 6, 6, 1, 5, 7, 8, 11, 7, 7, 4, 8, 2, 6, 4, 6, 3, 3, 7, 4, 2, 9, 5, 6, 8, 10, 8, 10, 10, 5, 6, 4, 6, 3, 8, 2, 8, 6, 6, 6, 7, 3, 3, 3, 4, 7, 5, 6, 1, 3, 4, 6, 5, 6, 3, 9, 3, 12, 13, 11, 7, 11, 17, 26, 27, 36, 23, 17, 24, 28, 12, 14, 24, 11, 25, 20, 23, 26, 69, 123, 173, 186, 375,"5,586","23,624", 
 27, Tabasco,"28,943", 1, , , , , 2, 2, 1, 1, , 2, , 2, 2, 3, 2, 3, 4, 1, 5, 1, 1, 2, 2, 4, 3, 1, 5, 9, 13, 2, 6, 7, 4, 4, 8, 10, 7, , 1, , 2, 1, 1, 1, 2, 3, 2, 3, 1, 2, 3, 2, 1, 3, 4, 2, 2, 3, 1, , , 1, 3, 1, 2, 1, , 2, 2, , 2, 2, 1, 1, 4, , 3, 3, 3, 2, 2, 1, 2, 9, 18, 20, 19, 26, 44, 47, 129, 198, 381, 579, 697,"11,154","15,405", 19
