Nacimientos
,Año de registro : 2018
,

Consulta de: Nacimientos registrados   Por: Ent y mun reside madre   Según: Año de ocurrencia
 , , Total, 1901, 1903, 1907, 1908, 1910, 1911, 1912, 1913, 1914, 1915, 1916, 1917, 1918, 1919, 1920, 1921, 1922, 1923, 1924, 1925, 1926, 1927, 1928, 1929, 1930, 1931, 1932, 1933, 1934, 1935, 1936, 1937, 1938, 1939, 1940, 1941, 1942, 1943, 1944, 1945, 1946, 1947, 1948, 1949, 1950, 1951, 1952, 1953, 1954, 1955, 1956, 1957, 1958, 1959, 1960, 1961, 1962, 1963, 1964, 1965, 1966, 1967, 1968, 1969, 1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, No especificado
 , Total,"2,162,535", 1, 1, 1, 1, 3, 1, 3, 3, 4, 13, 11, 16, 18, 20, 89, 41, 67, 93, 95, 133, 139, 162, 208, 208, 317, 177, 285, 314, 312, 431, 422, 366, 425, 383, 529, 409, 515, 429, 453, 567, 519, 540, 558, 553, 685, 644, 887, 829, 771, 785, 775,"1,036", 972, 661, 712, 589, 638, 670, 611, 672, 629, 583, 589, 623, 565, 490, 599, 596, 541, 563, 502, 522, 509, 494, 500, 503, 438, 395, 415, 460, 417, 432, 514, 525, 618, 709, 737, 790, 809, 862, 896, 948,"1,165","1,569","2,685","2,383","2,850","4,015","2,766","3,152","4,044","3,548","3,276","3,289","3,660","4,909","8,833","14,346","23,215","34,404","57,864","450,259","1,489,660", 98
 01, Aguascalientes,"25,938", , , 1, , , , , , , , , 1, 1, , , , 2, , , , 2, , 1, , 3, 1, 2, , , , 1, , , 1, , 1, , , 1, , 1, , , , 2, 1, , 1, 1, 4, 3, 2, 2, 1, 2, , 2, 2, 1, 1, , 2, 1, 1, 1, , 1, , , 1, , , , 3, , , , , , , , , , 3, , 2, 2, 4, , 2, , 2, , 2, 5, 3, 7, 7, 3, 6, 10, 5, 6, 6, 7, 22, 19, 66, 92, 167, 385,"3,981","21,070", 
 02, Baja California,"60,174", , , , , , , , , , , , 2, 2, 2, 2, 1, 1, 2, 2, 3, 2, 6, 2, 5, 3, 3, 8, 7, 4, 7, 6, 12, 6, 1, 8, 6, 9, 17, 7, 6, 15, 7, 11, 10, 18, 9, 26, 28, 21, 25, 18, 19, 12, 20, 21, 22, 18, 23, 20, 20, 19, 24, 26, 25, 31, 20, 32, 39, 30, 43, 40, 33, 47, 55, 54, 66, 46, 39, 44, 62, 58, 62, 65, 64, 86, 105, 98, 103, 78, 86, 88, 77, 134, 188, 290, 248, 324, 653, 385, 423, 405, 397, 303, 333, 254, 310, 402, 627, 757, 839,"1,062","7,243","42,341", 6
 03, Baja California Sur,"11,917", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1, , , , , , , , , , , , , , , , , , , , , , , , , , , , 1, , 1, 1, , , , , 1, , , , , 1, , , , , , 1, , , , , , , , 1, 1, , 2, , , , , 2, 3, 1, 2, 4, 4, , 1, , , 1, 2, 14, 18, 46, 71, 95, 155,"1,901","9,586", 
 04, Campeche,"16,247", , , , , 1, , , , , , , , , , , , , 3, , 2, 3, 2, 3, 1, 7, 1, , 2, , 7, , 3, 3, 2, 5, 3, , 5, 4, 5, 1, 3, 6, 5, 13, 15, 4, 12, 13, 9, 5, 12, 9, 7, 15, 1, 6, 9, 6, 6, 5, 8, 4, 9, 7, 8, 6, 9, 7, 7, 4, 4, 2, 4, 5, 10, 2, 3, 8, 4, 3, 3, 4, 3, 3, 3, 3, 1, 5, 6, 3, 3, 12, 11, 12, 9, 13, 16, 11, 19, 18, 15, 28, 26, 25, 41, 63, 131, 228, 394, 659,"4,244","9,897", 
 05, Coahuila de Zaragoza,"56,718", , , , , , , 1, , , 2, , , , 1, , , 3, 1, 1, 1, 1, 1, 1, 4, 5, 3, 7, 6, 4, 2, 5, 4, 4, 6, 7, 6, 8, 2, 9, 12, 11, 8, 9, 6, 6, 9, 18, 8, 8, 23, 10, 13, 21, 17, 10, 7, 8, 10, 7, 8, 14, 7, 10, 12, 11, 7, 9, 8, 6, 6, 3, 7, 9, 10, 6, 9, 6, 12, 5, 13, 7, 4, 14, 13, 13, 12, 19, 17, 18, 14, 10, 15, 21, 31, 64, 43, 70, 100, 43, 48, 79, 64, 48, 62, 64, 78, 152, 230, 343, 420, 750,"6,413","46,922", 23
 06, Colima,"11,375", , , , , , , , , , , , , , , , , 1, 1, , 1, , , 2, , 1, , , , , , 1, , 1, 2, , 1, , 1, , 2, 2, 2, 1, 1, 2, 1, 2, 2, 2, , 1, 2, 4, 3, 2, 2, 4, 1, , 2, 1, 4, , 2, , 2, , 1, 2, 2, 5, 3, 5, 2, 3, 2, 1, 6, 4, 1, 7, 5, 4, , 6, 3, 2, 5, 7, 5, 2, 4, 9, 10, 19, 21, 28, 45, 21, 18, 27, 21, 20, 24, 17, 24, 36, 45, 81, 76, 114,"1,521","9,052", 
 07, Chiapas,"130,200", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2, , , , , 2, 2, 1, 1, , 1, , , , 1, 2, 2, , 3, 1, 4, 1, 1, 1, 1, 2, 4, 4, 2, 1, 1, 1, 2, 4, 1, 4, 1, 3, 6, 4, 3, 7, 1, 8, 5, 9, 5, 5, 5, 7, 6, 5, 7, 1, 574, 477, 312, 320, 292, 319, 392, 431, 479, 578, 752,"1,047","1,790","2,655","4,532","7,596","12,452","45,585","49,477", 
 08, Chihuahua,"58,617", , , , 1, , , , , , , , , 1, , 1, , 3, 3, 1, 2, 2, 3, 3, 2, 4, 1, 3, 5, 2, 5, 6, 6, 8, 4, 8, 5, 7, 11, 4, 2, 5, 9, 15, 8, 16, 9, 11, 12, 6, 7, 14, 13, 20, 7, 7, 6, 6, 5, 1, 5, 4, 8, 9, 5, 7, 6, 14, 15, 10, 10, 3, 12, 8, 7, 10, 9, 11, 17, 10, 14, 13, 11, 14, 14, 15, 16, 12, 29, 18, 25, 31, 24, 32, 39, 50, 33, 32, 27, 40, 37, 56, 58, 67, 95, 129, 197, 354, 486, 654, 927,"1,564","10,550","42,494", 
