Country,Code,Income,Year,Sex,Age,Exposure,Deaths,Rate,bsn,bsn_lp,bsn_up,psc,up,lp,Source_dts,pop_yng,pop_in,fit_in,inc_in
Albania,ALB,Upper-mid,2020,m,1-4,59887,17,28.4,9.701475448580274,4,18.024999999999977,1.7523107789225816,4.25,0.9431345353675462,eurs_x1,2866848.5,1,1,1
Albania,ALB,Upper-mid,2021,m,1-4,58147,17,29.2,7.5094089826190356,2,16,2.263826625949857,8.5,1.0625,eurs_x1,2866848.5,1,1,1
Albania,ALB,Upper-mid,2015,t,1-4,134050,62,46.3,60.941078354168496,46,77,1.0173761553689191,1.3478260869565217,0.8051948051948052,eurs_x1,2866848.5,1,1,1
Albania,ALB,Upper-mid,2016,t,1-4,133506,48,36,48.88937953088978,35,63,0.9818083285281246,1.3714285714285714,0.7619047619047619,eurs_x1,2866848.5,1,1,1
Albania,ALB,Upper-mid,2017,t,1-4,131163,36,27.4,38.68971296910481,28,52,0.9304798934214723,1.2857142857142858,0.6923076923076923,eurs_x1,2866848.5,1,1,1
Albania,ALB,Upper-mid,2018,t,1-4,127052,34,26.8,30.188122054353624,20,42,1.1262707875230895,1.7,0.8095238095238095,eurs_x1,2866848.5,1,1,1
Albania,ALB,Upper-mid,2019,t,1-4,121696,22,18.1,23.29170709384028,14,34,0.9445421888298653,1.5714285714285714,0.6470588235294118,eurs_x1,2866848.5,1,1,1
Albania,ALB,Upper-mid,2020,t,1-4,116731,25,21.4,17.996234648713337,10,28,1.3891794860425097,2.5,0.8928571428571429,eurs_x1,2866848.5,1,1,1
Albania,ALB,Upper-mid,2021,t,1-4,113174,23,20.3,14.054407188747664,7,23,1.63649734144706,3.2857142857142856,1,eurs_x1,2866848.5,1,1,1
Albania,ALB,Upper-mid,2015,f,0-4,80807,123,152.2,134.1648554246659,100.97500000000002,176,0.9167825628453422,1.2181232978460013,0.6988636363636364,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2016,f,0-4,80224,156,194.5,136.16836907051254,104,169.02499999999998,1.14564051155829,1.5,0.9229403934329242,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2017,f,0-4,78746,134,170.2,136.64148280715963,108,170,0.980668514766577,1.2407407407407407,0.788235294117647,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2018,f,0-4,75850,125,164.8,134.5525054754731,105,167.02499999999998,0.9290053690065668,1.1904761904761905,0.7483909594372101,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2019,f,0-4,73048,136,186.2,132.4727872221798,100,167.02499999999998,1.0266259422163773,1.36,0.8142493638676845,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2021,f,0-4,68130,103,151.2,129.12817513638348,87.97500000000002,181,0.7976570557991141,1.1707871554418865,0.569060773480663,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2015,m,0-4,85958,172,200.1,163.22119085568266,132,199,1.0537847389686024,1.303030303030303,0.864321608040201,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2016,m,0-4,85015,169,198.8,167.01528808563185,138,199,1.01188341460903,1.2246376811594204,0.8492462311557789,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2017,m,0-4,83286,150,180.1,169.27900603635638,140,197.02499999999998,0.8861110631036209,1.0714285714285714,0.7613247049866769,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2018,m,0-4,80136,166,207.1,168.51136025078648,138,200.02499999999998,0.9850967896345447,1.2028985507246377,0.8298962629671292,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2019,m,0-4,77209,179,231.8,167.97315477364853,134,205,1.0656464733380202,1.335820895522388,0.8731707317073171,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2021,m,0-4,72255,148,204.8,168.25993331151744,126.97500000000002,220,0.8795914576168999,1.1655837763339238,0.6727272727272727,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2015,t,0-4,166766,295,176.9,297.3645201835391,246.97500000000002,349,0.9920484118882787,1.1944528798461382,0.8452722063037249,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2016,t,0-4,165238,325,196.7,303.19359953239643,258,354,1.071922364130492,1.2596899224806202,0.9180790960451978,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2017,t,0-4,162032,284,175.3,305.9421775482157,262.975,354.025,0.9282799850479666,1.0799505656431219,0.8022032342348705,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2018,t,0-4,155986,291,186.6,303.0767655736591,255,352.025,0.9601527832369454,1.1411764705882352,0.8266458348128685,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2019,t,0-4,150258,315,209.6,300.4229371630156,250.97500000000002,358,1.0485218038763617,1.255105090148421,0.8798882681564246,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2021,t,0-4,140386,251,178.8,297.21875242730255,231.97500000000002,372.025,0.8444958400173377,1.0820131479685309,0.6746858410053088,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2015,f,5-9,77375,24,31,19.46561304229598,7,39,1.2329434448250587,3.4285714285714284,0.6153846153846154,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2016,f,5-9,77122,11,14.3,17.422211630366306,7,31,0.6313779348672005,1.5714285714285714,0.3548387096774194,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2017,f,5-9,77750,14,18,15.771862295159547,6,29.024999999999977,0.8876567483281071,2.3333333333333335,0.48234280792420364,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2018,f,5-9,78654,19,24.2,14.327188349390727,5,28,1.3261499420999785,3.8,0.6785714285714286,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2019,f,5-9,79558,12,15.1,13.013124682783147,4,28,0.9221459328578056,3,0.42857142857142855,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2021,f,5-9,79308,12,15.1,10.459956707958748,2,29,1.1472322816469658,6,0.41379310344827586,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2015,m,5-9,83377,16,19.2,17.169581137816927,9,26,0.9318806249011595,1.7777777777777777,0.6153846153846154,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2016,m,5-9,82282,17,20.7,15.885240623522835,8,24,1.0701757941788073,2.125,0.7083333333333334,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2017,m,5-9,82066,16,19.5,14.853463960121836,8,23,1.077189808583126,2,0.6956521739130435,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2018,m,5-9,82265,13,15.8,13.959025658812987,7,22,0.9312970917703336,1.8571428571428572,0.5909090909090909,unicef_ccs,2866848.5,1,1,1
