Country,Live births,Stillbirths,Neonatal,Infant,Ages,Deaths
Mexico,2015-2022,2015-2020,2010-2022,2010-2022,0-24,2010-2022
Moldova,2015-2022,-,2010-2022,2010-2022,0-24,2010-2022
Monaco,2010-2021,-,2015-2021,2015-2021,0-24,2015-2021
Mongolia,2015-2022,2015-2021,2015-2021,2010-2022,0-24,2010-2022
Montenegro,2015-2022,2015-2021,2010-2022,2010-2022,0-24,2010-2022
Montserrat,2010-2021,-,2010-2021,2010-2021,0-24,2010-2021
Mozambique,2018-2021,2018-2021,2018-2021,-,0-4,2018-2021
Myanmar (Burma),2010-2020,-,-,2010-2020,0-24,2010-2020
Namibia,2018-2021,2018-2021,2018-2021,-,-,-
Nauru,2011-2021,2015-2020,2015-2020,2015-2020,0-24,2015-2020
Netherlands,2010-2021,2011-2021,2011-2021,2010-2022,0-24,2010-2022
New Caledonia,2010-2021,-,-,2010-2021,0-24,2010-2021
New Zealand,2010-2021,-,-,2010-2021,0-24,2010-2021
Nicaragua,2015-2022,-,2010-2022,2010-2022,0-24,2010-2022
North Macedonia,2010-2022,2010-2021,2010-2021,2010-2022,0-24,2010-2022
Norway,2015-2022,2015-2021,2015-2021,2010-2022,0-24,2010-2022
Oman,2010-2021,2015-2020,2010-2021,2010-2021,0-24,2010-2021
Panama,2015-2022,2015-2021,2015-2021,2010-2022,0-24,2010-2022
Paraguay,2015-2020,-,2010-2020,2010-2021,0-24,2010-2021
Peru,2015-2021,-,2010-2020,2010-2020,0-24,2010-2020
Philippines,2010-2021,2015-2020,2010-2021,2010-2021,0-24,2010-2021
Poland,2015-2022,2011-2021,2015-2021,2010-2022,0-24,2010-2022
Portugal,2010-2022,2015-2021,2015-2021,2010-2022,0-24,2010-2022
Puerto Rico,2010-2021,-,2010-2021,2013-2021,0-24,2013-2021
Qatar,2010-2021,2015-2020,2010-2021,2010-2021,0-24,2010-2021
Romania,2010-2022,2015-2021,2011-2021,2010-2022,0-24,2010-2022
Russia,2010-2021,-,2015-2020,2010-2020,0-24,2010-2020
Réunion,2010-2021,-,-,2013-2021,0-24,2013-2021
San Marino,2010-2021,-,2010-2021,2010-2021,0-24,2010-2021
Saudi Arabia,2021-2021,-,-,-,0-24,2011-2021
Serbia,2010-2022,2015-2021,2015-2021,2010-2022,0-24,2010-2022
Seychelles,2015-2021,-,2010-2021,2010-2021,0-24,2010-2021
Singapore,2010-2022,2015-2020,2015-2020,2010-2022,0-24,2010-2022
Slovakia,2010-2022,2015-2021,2015-2021,2010-2022,0-24,2010-2022
Slovenia,2010-2022,2015-2021,2011-2021,2010-2022,0-24,2010-2022
South Africa,2010-2021,2014-2022,2014-2022,2010-2022,1-24,2010-2022
South Korea,2010-2021,2015-2021,2015-2021,2010-2021,0-24,2010-2021
Spain,2010-2021,2011-2021,2010-2021,2010-2021,0-24,2010-2022
Sri Lanka,2010-2021,2017-2021,2017-2021,2010-2021,0-24,2010-2021
St. Lucia,2015-2021,-,2010-2021,2010-2021,0-24,2010-2021
St. Vincent & Grenadines,2015-2021,-,2010-2021,2010-2021,0-24,2010-2021
State of Palestine,2010-2021,-,-,2012-2021,0-24,2012-2021
Suriname,2010-2021,-,-,2012-2021,0-24,2012-2021
Sweden,2010-2022,2010-2021,2011-2021,2010-2022,0-24,2010-2022
Switzerland,2010-2022,2015-2021,2015-2021,2010-2022,0-24,2010-2022
Taiwan - Province of China,2010-2021,-,-,2010-2021,0-24,2010-2021
Tajikistan,-,-,-,2016-2021,0-24,2016-2021
Thailand,2010-2021,-,-,2010-2021,0-24,2010-2021
Tunisia,2010-2021,-,-,2013-2020,0-24,2013-2020
Turkey,2010-2022,2011-2021,2015-2021,2010-2022,0-24,2010-2022
Turks & Caicos Islands,2010-2020,-,-,2014-2020,0-24,2014-2020
U.S. Virgin Islands,2010-2021,-,2010-2021,2010-2021,0-24,2010-2021
USA,2010-2022,2015-2020,2010-2022,2010-2022,0-24,2010-2022
Uganda,2018-2021,2018-2021,2018-2021,-,0-4,2018-2021
Ukraine,2010-2021,2015-2021,2015-2021,2010-2021,0-24,2010-2021
United Arab Emirates,2010-2022,-,2010-2022,2010-2022,0-24,2010-2022
United Kingdom,2010-2021,2015-2020,2010-2020,2010-2021,0-24,2010-2021
Uruguay,2010-2022,2015-2021,2015-2021,2010-2022,0-24,2010-2022
Uzbekistan,2015-2022,-,2015-2021,2010-2022,0-24,2010-2022
Wallis & Futuna,2010-2021,-,-,2010-2021,0-24,2010-2021
Zambia,2018-2021,2018-2021,2018-2021,-,-,-
Zimbabwe,2018-2021,2018-2021,2018-2021,-,-,-
